Key,en,tr,reviewed
MainMenu.TabHeaderLable.Editor,Editor,Editör,True
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.",„{{0}“ isimli karakteri silmek istediğinizden emin misiniz? Bu karar geri alınamaz.,True
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.",„{0}“ İsimli karakter halihazırda mevcut. „{0}“ isimli karakterin üstüne yazmak istediğinizden emin misiniz? Bu karar geri alınamaz.,True
MainMenu.Confirm,Confirm,Onayla,True
MainMenu.Cancel,Cancel,İptal et,True
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,Lütfen bir karakter ismi giriniz.,True
MainMenu.Editor.Model,Models,Modeller,True
MainMenu.Editor.Character,Character,Karakter,True
MainMenu.Editor.Animation,Animation,Animasyon,True
MainMenu.Editor.PartsSelection,Choose Parts,Bölüm Seç,True
MainMenu.Editor.PartsAdjustment,Adjustment,Düzenleme,True
MainMenu.Search,Search...,Ara...,True
MainMenu.Editor.SaveCharacter,Save Character,Karakteri Kaydet,True
MainMenu.Editor.Unload,Clear Character,Karakteri Sıfırla,True
MainMenu.Editor.DeleteCharacter,Delete Character,Karakteri Sil,True
MainMenu.Editor.UseCustomTextures,Use Custom Textures,Özel Doku Kullan,True
MainMenu.Editor.ReloadTextures,Reload Textures,Dokuları Yinele,True
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,Özel Doku Klasörünü Aç,True
MainMenu.Editor.Color,Color,Renk,True
MainMenu.Editor.TintColor,TintColor,Ana Renk,True
MainMenu.Editor.TintBlackColor,TintBlackColor,Alt Renk,True
MainMenu.Editor.LICENSE,LICENSE,LİSANS,True
MainMenu.Editor.AssetTypeAA,Built-in,Standart İçerikler,False
MainMenu.Editor.AssetTypeSA,Third-Party,Üçüncü Parti İçerikler,False
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,Ekrandaki modeli kaldır,True
MainMenu.Settings.GeneralSettings,General Settings,Genel Ayarlar,True
MainMenu.Settings.GeneralSettings.Language,Language,Dil,True
MainMenu.Settings.ViewportSettings,Viewport Settings,Model Alanı Tuş Ayarları,True
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,Yakınlaştırma Hızı,True
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,Döndürme Hızı,True
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Modele Odakla,True
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Yatay Ofset,True
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Dikey Ofset,True
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,Model Alanı Tuş Ayarlarını Sıfırla,True
MainMenu.Settings.ExportSettings,Animation Export Settings,Animasyon Dışarı Aktarma Ayarları,True
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,Kayıt Lokasyonu,True
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Dışa Aktarım Ön Ayarları,True
MainMenu.Settings.ExportSettings.Encoder,Encoder,Encoder,True
MainMenu.Settings.ExportSettings.Width,Width,Genişlik,True
MainMenu.Settings.ExportSettings.Height,Height,Yükseklik,True
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,True
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,Maks. Kare Hızını Limitle,True
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,Maks. Kare Hızı,True
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Başlangıç Değeri,True
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,Titremeye İzin Ver,True
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,Dışarı Aktarma Ayarlarını Sıfırla,True
MainMenu.Editor.Export,Export Emote,Emoji Dışa Aktar,True
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,"Lisans, modelin yaratıcısı tarafından sağlanmıştır. Yalnızca referans amacıyla gösterilmiştir ve EmoteLab geliştiricisinin görüşlerini veya yasal konumunu temsil etmemektedir.",True
