Key,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv,sk
MainMenu.TabHeaderLable.Editor,Editor,编辑器,編輯器,Editor,Editor,Éditeur,Szerkesztő,エディター,편집기,Редактор,Editor,редактор,Editore,Editor,Editör,Redaktör,redaktor
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.",您确定要删除角色“{0}”吗？此操作不可撤销。,您確定要刪除角色“{0}”嗎？此操作無法復原。,"Bist du sicher, dass du den Charakter „{0}“ löschen möchtest? Diese Aktion kann nicht rückgängig gemacht werden.","¿Confirmas que quieres eliminar el personaje ""{0}""? Esta acción no se puede deshacer.","Êtes-vous sûr de vouloir supprimer le personnage ""{0}"" ? Cette action ne peut pas être annulée.","Biztosan törölni szeretné a(z) ""{0}"" karaktert? Ez a művelet nem vonható vissza.",キャラクター「{0}」を削除しますか？この操作は元に戻せません。,"""{0}"" 캐릭터를 삭제하시겠습니까? 이 작업은 되돌릴 수 없습니다.","Вы уверены, что хотите удалить символ ""{0}""? Это действие невозможно отменить.","Você tem certeza que quer excluir o personagem ""{0}""? Essa ação não pode ser desfeita.","Ви впевнені, що бажаєте видалити символ ""{0}""? Цю дію не можна скасувати.","Sei sicuro di voler eliminare il carattere ""{0}""? Questa azione non può essere annullata.","คุณแน่ใจหรือไม่ว่าต้องการลบตัวละคร ""{0}""? การกระทำนี้จะไม่สามารถย้อนกลับมาแก้ไขได้","""{{0}“ isimli karakteri silmek istediğinizden emin misiniz? Bu karar geri alınamaz.","Är du säker på att du vill ta bort tecknet ""{0}""? Denna åtgärd kan inte ångras.",Naozaj chcete odstrániť znak „{0}“? Túto akciu nie je možné vrátiť späť.
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.",角色“{0}”已存在。您确定要覆盖角色“{0}”吗？此操作不可撤销。,角色“{0}”已存在。您確定要覆蓋角色“{0}”嗎？此操作無法復原。,"Der Charakter „{0}“ ist bereits vorhanden. Bist du sicher, dass du den Charakter „{0}“ überschreiben möchtest? Diese Aktion kann nicht rückgängig gemacht werden.","El personaje ""{0}"" ya existe. ¿Quieres sobreescribir el personaje ""{0}""? Esta acción no se puede deshacer.","Le personnage ""{0}"" existe déjà. Êtes-vous sûr de vouloir remplacer le personnage « {0} » ? Cette action ne peut pas être annulée.","A(z) ""{0}"" karakter már létezik. Biztosan felül szeretné írni a(z) ""{0}"" karaktert? Ez a művelet nem vonható vissza.",キャラクター「{0}」はすでに存在します。キャラクター「{0}」を上書きしますか？この操作は元に戻せません。,"캐릭터 ""{0}""이(가) 이미 존재합니다. ""{0}"" 캐릭터를 덮어쓰시겠습니까? 이 작업은 되돌릴 수 없습니다.","Персонаж ""{0}"" уже существует. Вы уверены, что хотите перезаписать символ ""{0}""? Это действие невозможно отменить.","O personagem ""{0}"" já existe. Você tem certeza que quer sobrescrever o personagem ""{0}""? Essa ação não poderá ser desfeita.","Символ ""{0}"" уже існує. Ви впевнені, що бажаєте перезаписати символ ""{0}""? Цю дію не можна скасувати.","Il carattere ""{0}"" esiste già. Sei sicuro di voler sovrascrivere il carattere ""{0}""? Questa azione non può essere annullata.","คุณมีตัวละคร ""{0}"" อยู่แล้ว คุณแน่ใจหรือไม่ว่า ต้องการบันทึกทับตัวละคร ""{0}""? การกระทำนี้ไม่สามารถย้อนกลับมาแก้ไขได้","""{0}“ İsimli karakter halihazırda mevcut. „{0}“ isimli karakterin üstüne yazmak istediğinizden emin misiniz? Bu karar geri alınamaz.","Tecknet ""{0}"" finns redan. Är du säker på att du vill skriva över tecknet ""{0}""? Denna åtgärd kan inte ångras.",Znak „{0}“ už existuje. Naozaj chcete prepísať znak „{0}“? Túto akciu nie je možné vrátiť späť.
MainMenu.Confirm,Confirm,确认,確認,Bestätigen,Confirmar,Confirmer,Erősítse meg,確認,확인,Подтверждать,Confirmar,Підтвердити,Confermare,ยืนยัน,Onayla,Bekräfta,Potvrďte
MainMenu.Cancel,Cancel,取消,取消,Abbrechen,Cancelar,Annuler,Mégse,キャンセル,취소,Отмена,Cancelar,Скасувати,Cancellare,ยกเลิก,İptal et,Avboka,Zrušiť
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,请输入角色名：,請輸入角色名：,Bitte gib einen Charakternamen ein:,Por favor ingresa el nombre del personaje:,Veuillez saisir un nom de personnage :,"Kérjük, írjon be egy karakternevet:",キャラクター名を入力してください,캐릭터 이름을 입력해주세요:,"Пожалуйста, введите имя персонажа:",Por favor coloque um nome para o personagem:,"Будь ласка, введіть ім'я персонажа:",Inserisci il nome del personaggio:,โปรดป้อนชื่อตัวละคร:,Lütfen bir karakter ismi giriniz.,Vänligen ange ett teckennamn:,Zadajte názov postavy:
MainMenu.Editor.Model,Models,模型,模型,Modelle,Modelos,Modèles,Modellek,モデル,모델,Модели,Modelos,Моделі,Modelli,โมเดล,Modeller,Modeller,Modelky
MainMenu.Editor.Character,Character,角色,角色,Charakter,Personaje,Personnage,Karakter,キャラクター,캐릭터,Характер,Personagem,персонаж,Carattere,ตัวละคร,Karakter,Karaktär,Charakter
MainMenu.Editor.Animation,Animation,动画,動畫,Animation,Animación,Animation,Animáció,アニメーション,애니메이션,Анимация,Animação,Анімація,Animazione,แอนิเมชัน,Animasyon,Animation,Animácia
MainMenu.Editor.PartsSelection,Choose Parts,部件选择,部件選擇,Teile auswählen,Elije las partes,Choisir des Parties,Válassza az Alkatrészek lehetőséget,パーツ選択,파츠 선택,Выберите детали,Escolha partes,Виберіть частини,Scegli Parti,เลือกชิ้นส่วน,Bölüm Seç,Välj delar,Vyberte Časti
MainMenu.Editor.PartsAdjustment,Adjustment,部件调整,部件調整,Einstellung,Ajustes,Ajustements,Beállítás,調整,세부 조정,Корректирование,Ajuste,коригування,Regolazione,การแก้ไข,Düzenleme,Justering,Úprava
MainMenu.Search,Search...,搜索……,搜尋……,Suchen...,Buscar...,Recherche...,Keresés...,検索…,검색...,Поиск...,Pesquisar...,пошук...,Ricerca...,ค้นหา...,Ara...,Söka...,Hľadať...
MainMenu.Editor.SaveCharacter,Save Character,保存角色,儲存角色,Charakter speichern,Guardar personaje,Enregistrer le Personnage,Karakter mentése,キャラクターを保存,캐릭터 저장,Сохранить персонажа,Salvar personagem,Зберегти символ,Salva personaggio,บันทึกตัวละคร,Karakteri Kaydet,Spara tecken,Uložiť znak
MainMenu.Editor.Unload,Clear Character,重置角色,重置角色,Charakter zurücksetzen,Limpiar personaje,Réinitialiser le Personnage,Tiszta karakter,キャラクターを初期化,캐릭터 초기화,Ясный характер,Limpar personagem,Чіткий характер,Carattere chiaro,ล้างตัวละคร,Karakteri Sıfırla,Tydlig karaktär,Jasný charakter
MainMenu.Editor.DeleteCharacter,Delete Character,删除角色,刪除角色,Charakter löschen,Eliminar personaje,Supprimer le Personnage,Karakter törlése,キャラクターを削除,캐릭터 삭제,Удалить персонажа,Deletar personagem,Видалити символ,Elimina carattere,ลบตัวละคร,Karakteri Sil,Ta bort tecken,Odstrániť znak
MainMenu.Editor.UseCustomTextures,Use Custom Textures,使用自定义贴图,使用自訂貼圖,Benutzerdefinierte Texturen verwenden,Utilizar texturas personalizadas,Utiliser des Textures Personnalisées,Egyéni textúrák használata,カスタムテクスチャを使用,사용자 정의 텍스처 사용,Используйте пользовательские текстуры,Usar Texturas Customizadas,Використовуйте спеціальні текстури,Usa texture personalizzate,ใช้ Custom Texture,Özel Doku Kullan,Använd anpassade texturer,Použite vlastné textúry
MainMenu.Editor.ReloadTextures,Reload Textures,重新加载贴图,重新載入貼圖,Texturen neu laden,Recargar texturas,Recharger les Textures,Textúrák újratöltése,テクスチャを再読み込み,텍스처 다시 불러오기,Перезагрузить текстуры,Recarregar Texturas,Перезавантажити текстури,Ricarica le texture,โหลด Texture ใหม่,Dokuları Yinele,Ladda om texturer,Znovu načítať textúry
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,打开自定义贴图文件夹,開啟自訂貼圖資料夾,Ordner für benutzerdefinierte Texturen öffnen,Abrir carpeta de texturas personalizada,Ouvrir le Dossier des Textures Personnalisées,Nyissa meg az Egyéni textúra mappát,カスタムテクスチャフォルダを開く,사용자 정의 텍스처 폴더 열기,Открыть папку с пользовательскими текстурами,Abrir Pasta Com Texturas Customizadas,Відкрийте папку Custom Texture,Apri la cartella Texture personalizzata,เปิดโฟลเดอร์ Custom Texture,Özel Doku Klasörünü Aç,Öppna anpassad texturmapp,Otvorte priečinok Vlastná textúra
MainMenu.Editor.Color,Color,颜色,顏色,Farbe,Color,Couleur,Szín,色,색상,Цвет,Cor,Колір,Colore,สี,Renk,Färg,Farba
MainMenu.Editor.TintColor,TintColor,浅色,淺色,Tönungsfarbe,TintedeColor,TeinteCouleur,TintColor,色合い,바탕 색상,ОттенокЦвет,CorDaMatiz,TintColor,TintaColore,สีย้อม,Ana Renk,TintColor,TintColor
MainMenu.Editor.TintBlackColor,TintBlackColor,深色,深色,Dunkle Tönungsfarbe,TinteColorNegro,TeinteNoireCouleur,TintBlackColor,黒の色合い,선화 색상,ОттенокЧерныйЦвет,CorDaMatizPreto,TintBlackColor,TintaNeroColore,สีย้อมดำ,Alt Renk,NyansSvartFärg,TintBlackColor
MainMenu.Editor.LICENSE,LICENSE,使用条款,使用條款,LIZENZ,LICENCIA,LICENCE,ENGEDÉLY,ライセンス,라이선스,ЛИЦЕНЗИЯ,LICENÇA,ЛІЦЕНЗІЯ,LICENZA,ใบอนุญาตซอฟต์แวร์ (LICENSE),LİSANS,LICENS,LICENCIA
MainMenu.Editor.AssetTypeAA,Built-in,内置,內建模型,Standard-Assets,Texturas Predeterminadas,Actifs par Défaut,Alapértelmezett eszközök,標準アセット,기본 에셋,Активы по умолчанию,Assets Padrão,Активи за замовчуванням,Asset predefiniti,Default Assets,Standart İçerikler,Standardtillgångar,Vstavaný
MainMenu.Editor.AssetTypeSA,Third-Party,第三方,第三方模型,Drittanbieter-Assets,Texturas de Terceros,Assets Applications Tierces,Harmadik féltől származó eszközök,外部アセット,외부 에셋,Сторонние активы,Assets de Terceiros,Активи третіх сторін,Beni di terzi,Asset ของบุคคลที่สาม,Üçüncü Parti İçerikler,Tredjepartstillgångar,Tretia strana
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,关闭当前模型,關閉當前模型,Aktuelles Modell entladen,Dejar de usar modelo actual,Décharger le modèle actuel,Töltse ki az aktuális modellt,モデルの読み込みを解除,현재 모델 닫기,Выгрузить текущую модель,Descarregar modelo atual,Вивантажити поточну модель,Scarica il modello corrente,Unload โมเดลปัจจุบัน,Ekrandaki modeli kaldır,Lossa aktuell modell,Uvoľniť aktuálny model
MainMenu.Settings.GeneralSettings,General Settings,一般设置,一般設定,Allgemeine Einstellungen,Configuraciones generales,Paramètres généraux,Általános beállítások,一般設定,일반 설정,Общие настройки,Configurações gerais,Загальні налаштування,Impostazioni generali,การตั้งค่าทั่วไป,Genel Ayarlar,Allmänna inställningar,Všeobecné nastavenia
