AnimationName,DisplayName,en,zh-Hans,hu,es,ja,ru,zh-Hant,fr,de,ko
ANIM/Alert-Bits,Alert Bits,Alert Bits,通知/提示 Bits,Figyelmeztető bitek,Alerta de Bits,ビッツアラート,Биты оповещений,通知/提示 Bits,Bits d'alerte,Alert Bits,경고 비트
ANIM/Alert-Donation,Alert Donation,Alert Donation,通知/提示 硬币,Figyelmeztető adományozás,Alerta de donación,寄付アラート,Оповещение о пожертвовании,通知/提示 硬幣,Alerte Don,Alert Spende,알림 기부
ANIM/Alert-Heart,Alert Heart,Alert Heart,通知/提示 爱心/喜欢,Figyelmes szív,Alerta de corazón,ハートアラート,Бдительное сердце,通知/提示 愛心/喜歡,Coeur d'alerte,Alert Herz,경고 심장
ANIM/Alert-Like,Alert Like,Alert Like,通知/提示 点赞,Alert Like,Alerta de Like,いいねアラート,Оповещение лайком,通知/提示 點贊,Alerte J'aime,Alert Like,좋아요 알림
ANIM/Alert-Star,Alert Star,Alert Star,通知/提示 星星/收藏,Figyelmeztető csillag,Alerta de estrella,星アラート,Тревога Звезда,通知/提示 星星/收藏,Étoile d'alerte,Alert Stern,경고 스타
ANIM/Angry,Angry,Angry,生气,Dühös,Enojado,怒り顔,Злой,生氣,En colère,Wütend,화난
ANIM/Arrive,Arrive,Arrive,到达,Megérkezik,Llegando,登場,Приезжать,到達,Arriver,Ankommen,도착하다
ANIM/Arrive-Chopstick,Arrive (with Chopstick),Arrive (with Chopstick),到达(拿筷子),Érkezés (pálcikával),Llegando(con palillos),登場（箸）,Прибытие (с палочками для еды),到達(拿筷子),Arriver (avec une baguette),Ankommen (Essstäbchen),도착(젓가락 사용)
ANIM/Arrive-Spoon,Arrive (with Spoon),Arrive (with Spoon),到达(拿勺子),Érkezés (kanállal),Llegando(con cuchara),登場（スプーン）,Прибытие (с ложкой),到達(拿勺子),Arriver (avec une cuillère),Ankommen (Löffel),도착 (스푼 포함)
ANIM/Bonk,Bonk,Bonk,敲头,Bonk,Bonk,ボンク,Бонк,敲頭,Bonk,Bonk,봉크
ANIM/Copium,Copium,Copium,自我安慰,Copium,Copium,コピウム（現実逃避）,Копиум,自我安慰,Copie,Copium,코피움
ANIM/Crowbar-1,Crowbar 1,Crowbar 1,撬棍 1,Vargavas 1,Palanca 1,バール1,Лом 1,撬棍 1,Pied de biche 1,Brecheisen 1,크로우바 1
ANIM/Crowbar-2,Crowbar 2,Crowbar 2,撬棍 2,Vargavas 2,Palanca 2,バール2,Лом 2,撬棍 2,Pied de biche 2,Brecheisen 2,크로우바 2
ANIM/Crowbar-3,Crowbar 3,Crowbar 3,撬棍 3,Vargavas 3,Palanca 3,バール3,Лом 3,撬棍 3,Pied de biche 3,Brecheisen 3,크로우바 3
ANIM/Cry-1,Cry 1,Cry 1,哭 1,Sírás 1,Llorar 1,泣き顔1,Плачь 1,哭 1,Pleurer 1,Weinen 1,울다 1
ANIM/Cry-2,Cry 2,Cry 2,哭 2,Sírás 2,llorar 2,泣き顔2,Плачь 2,哭 2,Pleurer 2,Weinen 2,울다 2
ANIM/Cry-3,Cry 3,Cry 3,哭 3,Sírás 3,Llorar 3,泣き顔3,Плачь 3,哭 3,Pleurer 3,Weinen 3,울다 3
ANIM/Dead,Dead,Dead,死亡,Halott,Muerto,ダウン,Мертвый,死亡,Mort,Tot,죽은
ANIM/Dizzy,Dizzy,Dizzy,头晕,Szédül,Mareado,目まわし,Испытывающий головокружение,頭暈,Vertigineux,Schwindlig,어지러운
ANIM/Drink-BeverageCup,Drink (Beverage Cup),Drink (Beverage Cup),喝(饮料杯),Ital (italos csésze),Bebiendo (Vaso de bebida),ドリンク（カップ）,Напиток (Чашка для напитков),喝(飲料杯),Boisson (tasse de boisson),Getränk (Becher),음료(음료컵)
ANIM/Drive,Drive,Drive,驾驶,Hajtás,Conduciendo,ドライブ,Водить машину,駕駛,Conduire,Fahren,운전하다
ANIM/Drooling-Chopstick,Drooling (Chopstick),Drooling (Chopstick),馋(筷子),Nyálcsorgatás (evőpálcika),Babeando (palillo),よだれ（箸）,Слюни (Палочки для еды),饞(筷子),Baver (baguette),Sabbern (Essstäbchen),침흘림(젓가락)
